Data,Unit,LCI,Paint Production,Vehicle Assembly - Painting,Vehicle Assembly - HVAC & Lighting,Vehicle Assembly - Heating,Vehicle Assembly - Material Handling,Vehicle Assembly - Welding,Vehicle Assembly - Compressed Air,Vehicle Disposal,Battery Assembly: Lead-Acid,Battery Assembly: Ni_MH,Battery Assembly: Li_ion,Battery Assembly: Li_ion
Functional Unit,,,per vehicle,per vehicle,per vehicle,per vehicle,per vehicle,per vehicle,per vehicle,per vehicle,per ton,per ton,per ton,per kWh
Inventory: Energy,mmBtu,Total energy,0.625487811,3.547528056,2.157606039,3.303876207,0.446777008,0.594976211,0.891374616,3.260886994,3.484717657,3.484717657,25.04870316,0.208739193
Inventory: Energy,mmBtu,Fossil fuels,0.518026035,3.374510782,1.786919076,3.301893401,0.370018597,0.492756473,0.738232224,2.700651124,3.156516539,3.156516539,23.76493164,0.198041097
Inventory: Energy,mmBtu,Coal,0.293023569,0.471775198,1.010778165,0.005402575,0.209302549,0.278729736,0.417584111,1.527634476,0.894927077,0.894927077,3.50052816,0.029171068
Inventory: Energy,mmBtu,Natural gas,0.213057091,2.874276488,0.734935608,3.284313138,0.152183636,0.202664062,0.303624913,1.110741221,2.219388854,2.219388854,20.05786524,0.167148877
Inventory: Energy,mmBtu,Petroleum,0.011945376,0.028459096,0.041205303,0.012177687,0.008532411,0.011362674,0.017023201,0.062275427,0.042200608,0.042200608,0.20653824,0.001721152
Inventory: Energy,Gal,Water consumption,53.97220649,93.46381531,186.1759039,9.505934183,38.55157607,51.33941593,76.91509567,281.3760124,168.9071155,168.9071155,1722.200471,14.35167059
Inventory: Total Emissions,g,VOC,4.673357114,1637.091278,16.12063952,38.40373781,3.338112224,4.445388475,6.659940975,24.36384715,32.5965218,32.5965218,260.3908933,2.169924111
Inventory: Total Emissions,g,CO,13.99138416,169.8592722,48.26296278,162.1004372,9.993845827,13.30887761,19.93894119,72.94198512,120.1247508,120.1247508,1031.155214,8.592960115
Inventory: Total Emissions,g,NOx ,30.08141609,251.2857718,103.7651635,228.7773949,21.48672578,28.61402994,42.86863825,156.824956,201.0087544,201.0087544,1577.747815,13.14789846
Inventory: Total Emissions,g,PM10,5.658118949,78.24919961,19.51755317,11.94868502,4.041513535,5.382113147,8.06331237,29.49775544,22.94453958,22.94453958,130.8254382,1.090211985
Inventory: Total Emissions,g,PM2.5,2.420881113,42.9569083,8.35077457,11.78498786,1.729200795,2.302789351,3.449966464,12.62090098,13.0079112,13.0079112,91.59736368,0.763311364
Inventory: Total Emissions,g,SOx,78.99617585,153.5057872,272.4955195,35.56599831,56.4258399,75.14270386,112.5764318,411.8347276,257.5745026,257.5745026,1125.803616,9.381696797
Inventory: Total Emissions,g,BC,0.191926244,1.987216275,0.662045231,2.178423435,0.137090174,0.182563988,0.273511616,1.000578718,1.626199893,1.626199893,13.9036176,0.11586348
Inventory: Total Emissions,g,OC,0.438891582,4.505733014,1.513946574,4.931562942,0.313493987,0.417482237,0.625458736,2.28809551,3.694840821,3.694840821,31.52750208,0.262729184
Inventory: Total Emissions,g,CH4,82.57719555,642.8060107,284.8481658,662.2711776,58.9837111,78.54903967,117.6796968,430.5038372,568.1717821,568.1717821,4513.953812,37.61628177
Inventory: Total Emissions,g,N2O,0.675899561,6.079005082,2.331500227,6.480300625,0.482785401,0.642928851,0.963215751,3.523701097,5.157210617,5.157210617,42.60360432,0.355030036
Inventory: Total Emissions,g,CO2,43019.28973,220643.1087,148394.0656,196976.0939,30728.06409,40920.78779,61306.23519,224274.6219,225200.9483,225200.9483,1561259.062,13010.49218
Inventory: Total Emissions,g,"CO2 (VOC, CO, CO2)",43055.84149,226012.2982,148520.1501,197350.5148,30754.17249,40955.55654,61358.32463,224465.179,225491.3082,225491.3082,1563691,13030.75833
Inventory: Total Emissions,g,GHGs,45712.27074,246907.4149,157683.4426,218935.9298,32651.62196,43482.40387,65143.96771,238314.0749,243903.1225,243903.1225,1710399.569,14253.32974
Inventory: Urban Emissions,g,VOC,0.343769383,1.929239128,1.185824702,1.789263585,0.24554956,0.327000145,0.489901316,1.792190177,1.902509992,1.902509992,13.62506004,0.113542167
Inventory: Urban Emissions,g,CO,2.946207155,11.35406958,10.16287486,8.621363769,2.104433682,2.802489733,4.198601834,15.3596096,13.09483148,13.09483148,80.93202732,0.674433561
Inventory: Urban Emissions,g,NOx,6.83009209,18.85984213,23.56024797,10.3163135,4.878637207,6.496916866,9.733476184,35.60766182,25.73294067,25.73294067,135.9961824,1.13330152
Inventory: Urban Emissions,g,PM10,0.984340698,1.610482308,3.395460943,0.051415041,0.703100498,0.936324078,1.402771238,5.131712753,3.022195758,3.022195758,11.93676048,0.099473004
Inventory: Urban Emissions,g,PM2.5,0.656197263,1.080281574,2.263537598,0.042926372,0.468712331,0.624187641,0.93513826,3.420986121,2.018842511,2.018842511,8.00366352,0.066697196
Inventory: Urban Emissions,g,SOx,27.79093804,45.03332368,95.86421134,0.887214439,19.85067003,26.43528252,39.60450751,144.8838918,85.05590529,85.05590529,333.9980867,2.783317389
Inventory: Urban Emissions,g,BC,0.04285338,0.074947988,0.147821762,0.008504904,0.030609557,0.040762971,0.061069799,0.223409674,0.134568299,0.134568299,0.55312272,0.004609356
Inventory: Urban Emissions,g,OC,0.108964126,0.183823898,0.375869285,0.01288072,0.077831519,0.103648803,0.155283371,0.568068146,0.337987629,0.337987629,1.3597506,0.011331255
