Unit,Model,Size,Data,ICEV: Conventional Material,ICEV: Lightweight Material,HEV: Conventional Material,HEV: Lightweight Material,FCV: Conventional Material,FCV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material
miles,"1,2",,Range,NA,NA,NA,NA,NA,NA,10,10,20,20,30,30,40,40,100,100,300,300
lb,1,Car,Curb weight (w/o bat),3147.47128,2669.06874,3317.8993,2749.10734,3516.3151,2821.8598,3328.9224,2760.13044,3335.53626,2760.13044,3465.60884,2835.08752,3494.2689,2839.49676,2885.79378,2350.07112,2954.137,2383.14042
lb,2,Car,Curb weight (w/o bat),3169.882002,2475.540681,3429.062384,2838.750612,3643.971348,2930.32264,3328.9224,2760.13044,3335.53626,2760.13044,3465.60884,2835.08752,3494.2689,2839.49676,2885.79378,2350.07112,2954.137,2383.14042
lb,1,Car,Battery Lead-Acid,36,23.4,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365
lb,2,Car,Battery Lead-Acid,27.337288,24.912206,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365,22.1,14.365
kW or kWh,"1,2",Car,EV Battery,,,32,27,38,34,4,3,8,6,11,9,15,12,27,22,84,64
kW,"1,2",Car,Fuel cell stack,,,,,102,66,,,,,,,,,,,,
lb,"1,2",Car,Fuel cell auxiliaries,,,,,300,196,,,,,,,,,,,,
lb,1,Car,Fluids,93.5396569,93.5396569,71.34920435,71.34920435,55.62020287,55.62020287,71.34920435,71.34920435,71.34920435,71.34920435,71.34920435,71.34920435,71.34920435,71.34920435,55.62020287,55.62020287,55.62020287,55.62020287
lb,2,Car,Fluids,60.6490962,56.7248726,71.34920435,71.34920435,55.62020287,55.62020287,71.34920435,71.34920435,71.34920435,71.34920435,71.34920435,71.34920435,71.34920435,71.34920435,55.62020287,55.62020287,55.62020287,55.62020287
lb,1,Car,Wheels,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
lb,2,Car,Wheels,90,72,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
lb,1,SUV,Curb weight (w/o bat),3828.83582,3279.88544,4029.31928,3372.34252,4309.30602,3511.23358,4031.5239,3374.54714,4057.97934,3378.95638,4212.30274,3464.93656,4238.75818,3478.16428,3513.4382,2902.75846,3628.07844,2940.237
lb,2,SUV,Curb weight (w/o bat),3767.980373,3073.600387,4029.31928,3372.34252,4309.30602,3511.23358,4031.5239,3374.54714,4057.97934,3378.95638,4212.30274,3464.93656,4238.75818,3478.16428,3513.4382,2902.75846,3628.07844,2940.237
lb,1,SUV,Battery Lead-Acid,53.5,35,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8
lb,2,SUV,Battery Lead-Acid,41.667318,41.667318,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8
kW or kWh,"1,2",SUV,EV Battery,,,45,38,45,38,5,5,11,9,14,11,19,15,35,29,109,83
kW,"1,2",SUV,Fuel cell stack,,,,,121,80,,,,,,,,,,,,
lb,"1,2",SUV,Fuel cell auxiliaries,,,,,377.1778613,240.8477928,,,,,,,,,,,,
lb,1,SUV,Fluids,124,124,94.9,94.9,74.9,74.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,74.9,74.9,74.9,74.9
lb,2,SUV,Fluids,91.71285892,89.76724454,94.9,94.9,74.9,74.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,74.9,74.9,74.9,74.9
lb,1,SUV,Wheels,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
lb,2,SUV,Wheels,131.2,116.4,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
lb,1,PUT,Curb weight (w/o bat),4437.31094,3815.6081,4662.04522,3912.47442,5065.49068,4115.29946,4670.8637,3914.67904,4703.933,3923.49752,4891.3257,4024.91004,4937.62272,4038.13776,4091.04864,3392.1841,4243.16742,3438.48112
lb,2,PUT,Curb weight (w/o bat),5227.522192,4029.311222,4662.04522,3912.47442,5065.49068,4115.29946,4670.8637,3914.67904,4703.933,3923.49752,4891.3257,4024.91004,4937.62272,4038.13776,4091.04864,3392.1841,4243.16742,3438.48112
lb,1,PUT,Battery Lead-Acid,53.5,35,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8
lb,2,PUT,Battery Lead-Acid,39.12539114,39.12539114,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8,36,23.8
kW or kWh,"1,2",PUT,EV Battery,,,53,44,51,44,7,5,13,11,18,14,24,18,43,34,135,99
kW,"1,2",PUT,Fuel cell stack,,,,,140.859,106.2209667,,,,,,,,,,,,
lb,"1,2",PUT,Fuel cell auxiliaries,,,,,443.2261504,326.6310038,,,,,,,,,,,,
lb,1,PUT,Fluids,124,124,94.9,94.9,74.9,74.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,74.9,74.9,74.9,74.9
lb,2,PUT,Fluids,100.5,100.5,94.9,94.9,74.9,74.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,74.9,74.9,74.9,74.9
lb,1,PUT,Wheels,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
lb,2,PUT,Wheels,153.2,123.2,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
