Size,Technology,Source,Component,Subcomponent,HSS/AHSS,Cast Iron,Mild steel and other steels,Wrought Aluminum,Cast Aluminum,Other
LDV,Glo,Argonne,Glider,Body,0,0,0.88,0,0,0.12
LDV,Glo,Argonne,Glider,Exterior,0,0,0.01,0,0,0.99
LDV,Glo,Argonne,Glider,Interior,0,0,0.4,0.03,0,0.57
LDV,Glo,Argonne,Glider,Chassis,0,0.07,0.79,0.01,0,0.13
LDV,Glo,Argonne,Glider,Weld blanks and fasteners - G,0,0,0.62,0,0,0.38
LDV,Glo,Argonne,Powertrain,Engine,0,0.49,0.1,0,0.3,0.11
LDV,Glo,Argonne,Powertrain,Fuel storage system,0,0,1,0,0,0
LDV,Glo,Argonne,Powertrain,Powertrain thermal,0,0,0.5,0,0,0.5
LDV,Glo,Argonne,Powertrain,Fuel cell stack,0,0,0,0,0,1
LDV,Glo,Argonne,Powertrain,Fuel cell auxiliaries,0,0,0.35,0.17,0,0.48
LDV,Glo,Argonne,Powertrain,Exhaust,0,0,1,0,0,0
LDV,Glo,Argonne,Powertrain,Powertrain electrical,0,0,0,0,0,1
LDV,Glo,Argonne,Powertrain,Emission controls,0,0,0,0,0,1
LDV,Glo,Argonne,Powertrain,Weld blanks and fasteners - P,0,0,1,0,0,0
LDV,"ICEV-G,ICEV-D,FFV,CNG",Argonne,Transmission,Transmission,0,0.3,0.3,0.3,0,0.1
LDV,"HEV,PHEV,BEV,FCV",Argonne,Transmission,Transmission,0,0,0.61,0.2,0,0.19
LDV,Glo,Argonne,Battery Lead-Acid,Battery Lead-Acid,0,0,0,0,0,1
LDV,Glo,Argonne,EV Battery,EV Battery,0,0,0,0,0,1
LDV,Glo,Argonne,Traction Motor,Traction Motor,0,0,0.36,0,0.36,0.28
LDV,Glo,Argonne,Generator,Generator,0,0,0.36,0,0.36,0.28
LDV,Glo,Argonne,Electronic Controller,Electronic Controller,0,0,0.05,0,0.469,0.481
LDV,Glo,Argonne,Fluids,Fluids,0,0,0,0,0,1
LDV,Glo,Argonne,Wheels,Wheels,0,0,1,0,0,0
LDV,Glo,Argonne,Wheels,Tires,0,0,0.33,0,0,0.67
