,1 g,1 kg,1 metric tonne,1 lb,1 short ton,1 m3,1 ml,1 L,1 gal,1 ft3,1 J,1kJ,1 MJ,1Wh,1 kWh,1 BTU,1 mmBTU,1 hph,1 mile,1 km
g,1,1000,1000000,453.59237,907184.74,,,,,,,,,,,,,,,
kg,0.001,1,1000,0.45359237,907.18474,,,,,,,,,,,,,,,
metric tonne,0.000001,0.001,1,0.000453592,0.90718474,,,,,,,,,,,,,,,
lb,0.002204623,2.204622622,2204.622622,1,2000,,,,,,,,,,,,,,,
short ton,1.10E-06,0.001102311,1.102311311,0.0005,1,,,,,,,,,,,,,,,
m3,,,,,,1,0.000001,0.001,0.003785411,0.028316847,,,,,,,,,,
ml,,,,,,1000000,1,1000,3785.411,28316.847,,,,,,,,,,
L,,,,,,1000,0.001,1,3.785411,28.316847,,,,,0.10342653,,,,,
gal,,,,,,264.1721071,0.000264172,0.264172107,1,7.480521138,,,,,,,,,,
ft3,,,,,,35.31466621,3.53E-05,0.035314666,0.133680526,1,,,,,,,,,,
J,,,,,,,,,,,1,1000,1000000,3600,3600000,1055.05585,1055055850,2684519.538,,
kJ,,,,,,,,,,,0.001,1,1000,3.6,3600,1.05505585,1055055.85,2684.519538,,
MJ,,,,,,,,,,,0.000001,0.001,1,0.0036,3.6,0.001055056,1055.05585,2.684519538,,
Wh,,,,,,,,,,,0.000277778,0.277777778,277.7777778,1,1000,0.293071069,293071.0694,745.6998716,,
kWh,,,,,,,,,33.7,,2.78E-07,0.000277778,0.277777778,0.001,1,0.000293071,293.0710694,0.745699872,,
BTU,,,,,,,,,,,0.000947817,0.947817123,947.8171227,3.412141642,3412.141642,1,1000000,2544.433584,,
mmBTU,,,,,,,,,,,9.48E-10,9.48E-07,0.000947817,3.41E-06,0.003412142,0.000001,1,0.002544434,,
hph,,,,,,,,,,,3.73E-07,0.000372506,0.372506136,0.001341022,1.34102209,0.000393015,393.0147779,1,,
km,,,,,,,,,,,,,,,,,,,1.609344,
mile,,,,,,,,,,,,,,,,,,,,0.621371192
