ecoInvent,AEO
"electricity production, hydro, run-of-river",Pumped Storage/Other
"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted",Renewables
"electricity production, natural gas, combined cycle power plant",Natural Gas
"electricity production, hard coal",Coal
"electricity production, hydro, pumped storage",Pumped Storage/Other
"electricity production, hydro, reservoir, alpine region",Pumped Storage/Other
"electricity production, nuclear, pressure water reactor",Nuclear
"electricity production, wind, 1-3MW turbine, onshore",Renewables
"electricity production, photovoltaic, 570kWp open ground installation, multi-Si",Renewables
"electricity production, lignite",Coal
"electricity production, wind, >3MW turbine, onshore",Renewables
"electricity production, natural gas, conventional power plant",Natural Gas
"electricity production, oil",Petroleum
"electricity production, nuclear, boiling water reactor",Nuclear
"electricity production, wind, <1MW turbine, onshore",Renewables
"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted",Renewables
"electricity production, deep geothermal",Renewables
